Denominazione,Abstract,Categoria,Tipologia_Prevalente,Comune,Indirizzo,Proprieta,Date_complesso_archivistico,lat_comune,long_omune
Casa Contadina,"Si tratta di un’esposizione che segue il modello della fedele ricostruzione di un'abitazione contadina di tipo tradizionale, realizzata in una casa contadina situata nel centro storico di Acerenza, composta da due vani, abitati fino al 1985, messi a disposizione dai proprietari gratuitamente. Il primo ambiente comprendente la cucina e la stalla, il secondo la camera da letto e il pollaio. Tutti gli oggetti, prestati o donati alla struttura museale, provengono dal territorio di Acerenza. ; L’iniziativa è gestita da un gruppo di persone dedite alla valorizzazione del patrimonio locale, tra i quali Antonio Cimino, autore del Micromuseo allestito nell'Istituto Scolastico Comprensivo.",Archivio Collezioni Private,Collezione oggettuale,Acerenza,"Via G. Albini, 20 ; 85011 Acerenza, Pz",Privata,,40.7931277,15.9375128
Casa Contadina,"Museo interattivo permanente, inaugurato il 9 agosto 2015. E' stato realizzato per la pro-loco di Forenza nell'ambito di Matera capitale della cultura 2019. Il museo permette di rivivere gli oggetti e gli arredi della casa contadina attraverso un racconto emozionale che avvolge il visitatore grazie all'ausilio di differenti mezzi comunicativi. ; La casa contadina dispone di quattro ambienti: l’abitazione vera e propria, la stalla, la cantina e il pagliaio. L’allestimento rappresenta una ricostruzione della casa contadina tradizionale di fine '800 - inizio '900.L’ambiente domestico è ricostruito fedelmente, con gli oggetti collocati nello spazio secondo un ordine di tipo funzionale. Nella stalla e nella cantina sono esposti gli strumenti del lavoro agricolo secondo il loro impiego cronologico all’interno del ciclo produttivo di riferimento. Nel pagliaio si trovano piuttosto alla rinfusa altri oggetti in disuso, tra cui la prima lampadina, ancora funzionante, del 1924, e il primo televisore giunti a Forenza ed una radio dei primi del '900.",Archivio Collezioni Private,Collezione oggettuale,Forenza,"Via Roma, 75/77 ; 85023 Forenza, Pz",Associazione Pro Loco Forenza,,40.8598703,15.8573518
Archivio Storico Comunale di Rotonda,,Archivio Pubblico Non Statale,Archivio documentale,Rotonda,"Via Roma, 56 ; 85048 Rotonda PZ",Comune di Rotonda,,39.9537592,16.0400185
Archivio Storico Comunale di Viggianello,,Archivio Pubblico Non Statale,Archivio documentale,Viggianello,"Corso Senatore De Filpo, 26 ; 85040 Viggianello PZ",Comune di Viggianello,1817 - 1998,39.9735203,16.0866886
Museo privato Palazzo Caporale,"Arredi del XXVII sec., oggetti, armi antiche, libri ed affreschi di scuola napoletana.",Archivio Collezioni Private,Collezione oggettuale,Viggianello,"Palazzo Caporale ; 85040 Viggianello, Pz",Privata,,39.9735203,16.0866886
Archivio Storico Comunale di Terranova di Pollino,,Archivio Pubblico Non Statale,Archivio documentale,Terranova di Pollino,Via Dante ; 85030 Terranova di Pollino PZ,Comune di Terranova di Pollino,,39.9783663,16.2948263
Collezione di Giuseppe Salamone,"Collezione di strumenti musicali dell’area lucana del costruttore e suonatore Giuseppe Salamone, attualmente non allestita. Fra questi strumenti musicali sono presenti soprattutto zampogne, circa una ventina, costruite dallo stesso Salamone e alcune da importanti artigiani oggi scomparsi. ; Nel 2001 questa collezione è stata esposta, insieme ad altri oggetti in legno di Lorenzo Salamone, in una sede temporanea, in occasione della creazione del laboratorio di lavorazione del legno e dei vimini promosso dal Leader II.",Archivio Collezioni Private,Collezione oggettuale,Terranova di Pollino,"Via Vittoria, 14, ; 85030 Terranova di Pollino, Pz",Privata,,39.9783663,16.2948263
Archivio Storico Comunale di Maratea,"SEZIONE I: 1823 - 1996 ; Consistenza: Unità 2503: regg. 374, bb. 1607, voll. 89, fasci 315, fascicoli 44, scatole 74. ; L'archivio rispecchia la sua organizzazione originaria e comprende atti delle quindici categorie in massima parte a far data dalla seconda metà del XIX secolo tranne che per un esigua quantità di unità archivistiche della prima metà del 1800. ; ; SEZIONE II: 1999 - 2004 ; Consistenza: Unità 30490: voll. 340, regg. 194, bb. 4251, fascicoli 25685, scatole 4, cassette 16. ; La sezione comprende la documentazione più recente che sarebbe dovuta confluire nell'archivio di deposito ma che ancora giace presso i diversi uffici che l'hanno prodotta. Il fondo rispecchia l'organizzazione originaria e per la maggior parte si tratta di documentazione prodotta nel periodo postunitario.",Archivio Pubblico Non Statale,Archivio documentale,Maratea,"Piazza Biagio Vitolo, 1 ; 85046 Maratea PZ",Comune di Maratea,1823 - 2004,39.9979314,15.7183069
Archivio Storico Comunale di Castelluccio Inferiore,,Archivio Pubblico Non Statale,Archivio documentale,Castelluccio Inferiore,"Comune di Castelluccio Inferiore ; Largo G. Marconi, 24 ; 85040 Castelluccio Inferiore PZ",Comune di Castelluccio Inferiore,1844 - 1987,40.0047583,15.9807855
Archivio Storico Comunale di Castelluccio superiore,"La documentazione risulta completamente disordinata. L'archivio comprende atti delle quindici categorie. Pochi i documenti del secolo XIX rinvenuti a causa di varie dispersioni dovute ai numerosi trasferimenti della sede comunale avvenuti in tempi remoti ed alla permanenza delle carte in locali malsani. Oltre ad un considerevole numero di unità documentarie tra buste e registri, sono stati individuati i seguenti gruppi di documenti e pezzi isolati: ; - Deliberazioni del consiglio e della giunta, 1893-1970, regg. 19; ; - Conti e bilanci, 1932-1970, bb. 26; ; - Atti demaniali, 1883, voll. 2.",Archivio Pubblico Non Statale,Archivio documentale,Castelluccio Superiore,"Comune di Castelluccio Superiore ; Via Provinciale, 46 ; 85040 Castelluccio Superiore PZ",Comune di Castelluccio Inferiore,1883 - 1987,40.0114259,15.9759444
Archivio Storico Comunale di San Severino Lucano,,Archivio Pubblico Non Statale,Archivio documentale,San Severino Lucano,"Via San Vincenzo, 69 ; 85030 San Severino Lucano PZ",Comune di San Severino Lucano,,40.0218688,16.1390412
Archivio Storico Comunale di Trecchina,"SEZIONE I: 1858 - 2004. La documentazione, in disordine, rispetta la classificazione delle quindici categorie e si trova nella organizzazione originaria. Non esiste separazione tra archivio di deposito e storico. ; SEZIONE II: 1998 - 2004. Questa sezione comprende atti che sarebbero dovuti confluire nell'archivio di deposito ma che ancora giacciono presso i diversi uffici comunali che l'hanno prodotta. Non esiste, in generale, distinzione tra archivio storico e di deposito. La documentazione rispetta la classificazione delle quindici categorie e si trova nella organizzazione originaria. Il complesso, in disordine, non risulta distinto in archivio storico e di deposito. Una cospicua parte di documentazione si trova ancora presso i diversi uffici comunali che l'hanno prodotta.",Archivio Pubblico Non Statale,Archivio documentale,Trecchina,"Via Roma, 17 ; 85049 Trecchina PZ",Comune di Trecchina,1858 - 2004,40.0276666,15.7756481
Archivio Storico Comunale di San Paolo Albanese,,Archivio Pubblico Non Statale,Archivio documentale,San Paolo Albanese,"Via A. Smilari, 19 ; 85030 San Paolo Albanese PZ",Comune di San Paolo Albanese,,40.0342424,16.3346232
Museo della cultura arbereshe,"Il Museo della Cultura Arbëreshe è stato preceduto da un’intesa attività di ricerca coordinata da G.B. Bronzini e da due convegni, svoltisi rispettivamente il 26 settembre 1987 e nei giorni 6 e 7 novembre 1993. ; Attualmente il museo è in attesa dell’allestimento definitivo. L’esposizione provvisoria comprende la rappresentazione dell’intero ciclo di lavorazione della ginestra e della confezione dei costumi tradizionali arbëreshe e la parziale documentazione delle attività agropastorali praticate nella zona. ; Gli oggetti, provenienti dal territorio di San Paolo Albanese, non sono tutti esposti; alcuni particolarmente pregiati sono conservati in abitazioni cittadine. ; La struttura espositiva è anche dotata di mostre fotografiche permanenti e di proiezioni a ciclo continuo di diapositive sulle diverse operazioni connesse alla lavorazione della ginestra.",Archivio Collezioni Private,Collezione oggettuale,San Paolo Albanese,"via Regina Margherita, 10 ; 85030 San Paolo Albanese, Pz",Comune di San Paolo Albanese,,40.0342424,16.3346232
Archivio Storico Comunale di San Costantino Albanese,,Archivio Pubblico Non Statale,Archivio documentale,San Costantino Albanese,Largo Luna ; 85030 San Costantino Albanese PZ,Comune di San Costantino Albanese,,40.0368888,16.3056481
Etnomuseo della Cultura Arbëreshe e Biblioteca di Cultura Albanese,"La collezione, composta da oggetti provenienti dal territorio di San Costantino Albanese e donati dalla popolazione locale, annovera attrezzi del lavoro pastorale e strumenti per la lavorazione del latte, oggetti appartenenti al ciclo della filatura e della tessitura, utensileria domestica e costumi tradizionali arbëreshe. ; Il museo dispone di un laboratorio per la costruzione di strumenti musicali, specialmente della surdulina, realizzato in occasione di un progetto all’interno del LEADER II, e di fotografie della prima metà del ‘900 relative alla popolazione locale e alle comunità emigranti. La raccolta è costituita da circa 150 pezzi, tutti catalogati. All’interno del museo è possibile consultare un nutrito fondo bibliotecario che raccoglie pubblicazioni sull’arbëresh di Basilicata e delle altre regioni d’Italia. ; L’Etnomuseo, la Biblioteca e la Casa Parco sono importanti presidi culturali e l’amministrazione comunale si attiverà a breve per attuare nuovi interventi per la loro valorizzazione e fruizione.",Archivio Collezioni Private,Collezione oggettuale,San Costantino Albanese,"Via Demostene, 3 ; 85030 San Costantino Albanese, Pz",Comune di San Costantino Albanese,,40.0368888,16.3056481
Archivio Storico Comunale di Lauria,,Archivio Pubblico Non Statale,Archivio documentale,Lauria,"Via Roma, 104 ; 85044 Lauria PZ",Comune di Lauria,,40.0478655,15.8375220
Archivio Storico Comunale di Cersosimo,"- Deliberazioni del consiglio e della giunta ; - Protocolli della corrispondenza ; - Bilanci di previsione ; - Libri mastri e della contabilità ; - Conti consuntivi ; - Elaborati ufficio tecnico ; - Elaborati ex legge 219/81 - Interventi per la ricostruzione aree terremotate ; - Carteggio delle 15 categorie. ; L'archivio comprende atti delle 15 categorie. ; La documentazione interessa esclusivamente il XX secolo con eccezione di alcuni protocoli di corrispondenza che datano dal 1895: la pressochè totale assenza di atti del XIX secolo deve ricondursi a dispersioni e scarti abusivi avvenuti nel passato in seguito ai numerosi trasferimenti della sede comunale, agli eventi bellici connessi al secondo conflitto mondiale e all'incuria del personale. Non esiste una netta separazione tra gli atti correnti e quelli di deposito. Tra le carte correnti sono assolutamente prevalenti gli atti dell'ufficio tecnico e quelli relativi all'attività di ricostruzione seguita al terremoto del 1980 ai sensi della legge n. 219/81.",Archivio Pubblico Non Statale,Archivio documentale,Cersosimo,"Comune di Cersosimo ; Via Fratelli Bandiera, 9 ; 85030 Cersosimo PZ",Comune di Cersosimo,1895 - 1989,40.0480699,16.3508737
Archivio Storico Comunale di Nemoli,,Archivio Pubblico Non Statale,Archivio documentale,Nemoli,"Piazza Umberto, I ; 85040 Nemoli PZ",Comune di Nemoli,,40.0686001,15.8012836
Archivio Storico Comunale di Episcopia,Comprende atti delle 15 categorie. La documentazione si arresta al 1920. La mancanza completa delle carte del secolo XIX e del primo ventennio del sec. XX è da attribuire alla permanenza degli atti per lunghi periodi in locali umidi e malsani e ad uno scarto arbitrario effettuato nel 1954 in occasione del trasferimento della sede comunale. Dispersioni di atti devono essersi verificate in seguito al trasloco del comune avvenuto dopo il terremoto del 1980 essendo la vecchia sede interessata da lavori di ristrutturazione.,Archivio Pubblico Non Statale,Archivio documentale,Episcopia,Comune di Episcopia ; Via G. Bruno ; 85033 Episcopia PZ,Comune di Episcopia,1920 - 1988,40.0759629,16.0990740
Archivio Storico Comunale di Rivello,,Archivio Pubblico Non Statale,Archivio documentale,Rivello,Viale Monastero ; 85040 Rivello PZ,Comune di Rivello,1866 - 2004,40.0790740,15.7570555
Archivio Storico Comunale di Francavilla in Sinni,"- Deliberazioni originali del consiglio ; - Deliberazioni della giunta ; - Deliberazioni del podestà ; - Brogliacci delle deliberazioni di giunta e consiglio ; - Censimenti della popolazione ; - Personale ; - Emigrazione ed immigrazione ; - Elezioni e referendum ; - Leva militare - Protocolli di corrispondenza ; - Agricoltura, industria e commercio ; - Bilanci di previsione ; - Conti consuntivi ; - Mastri di contabilità ; - Imposte e tasse ; - Atti contabili vari ; - Lavori pubblici ; - Edilizia privata ; - Terremoto (L. 219/81) ; - Ufficio tecnico ; - Contratti ; - Danni alluvionali ; - Assegnazione alloggi ; - Repertori protesti cambiari ; - Carteggio delle 15 categorie. ; L'incendio del 1914 e quello successivo negli anni 1930 hanno distrutto gran parte delle carte dell'800. Il terremoto del 1980 e i successivi e ripetuti traslochi hanno determinato altre dispersioni. ; Descrizione: Gli atti sono classificati in base alle 15 categorie del Titolario di classificazione degli atti comunali prescritto dal Ministero dell'interno con circolare n. 17100.2 del 1. marzo 1897.",Archivio Pubblico Non Statale,Archivio documentale,Francavilla in Sinni,"Piazza Magistrati Mainieri, 1 ; 85034 Francavilla in Sinni PZ",Comune di Francavilla in Sinni,1870 - 2004,40.0801666,16.2042407
Archivio Storico Comunale di Noepoli,,Archivio Pubblico Non Statale,Archivio documentale,Noepoli,"Piazza Marconi, 2 ; 85035 Noepoli PZ",Comune di Noepoli,,40.0878148,16.3306481
Museo Antica Noja,"La collezione, allestita in quattro vani, segue, in parte, il modello della fedele ricostruzione di un’abitazione contadina di tipo tradizionale. Sono pertanto esposti componenti d’arredo e oggetti della vita domestica e del lavoro contadino. Sono presenti, inoltre, strumenti relativi ad alcuni mestieri artigianali, attrezzi del lavoro pastorale e strumenti per la lavorazione del latte, oggetti appartenenti al ciclo della filatura e della tessitura. L’allestimento è arricchito anche da arredi relativi a un’aula scolastica di inizio ’900, da fotografie d’epoca, libri e documenti.",Archivio Collezioni Private,Collezione oggettuale,Noepoli,"Piazza Marconi, 20 ; 85035 Noepoli, Pz",Pro Loco “Antica Noja”,,40.0878148,16.3306481
Archivio Storico Comunale di Latronico,"- Protocolli della corrispondenza ; - Deliberazioni originali della giunta e del consiglio municipali - Deliberazioni originali del podestà - Deliberazioni originali del commissario prefettizio ; - Personale - Polizia urbana e rurale - Sanità ed igiene - Focatico ; - Elezioni e referendum - Commissione elettorale comunale ; - Atti di leva - Ruoli matricolari ; - Conti delle entrate - Conti finanziari - Conti consuntivi ; - Mandati di pagamento- Giornali di cassa- Mastri di contabilità ; - Imposte e tasse - Catasto - Bilanci di previsione - Opere pie - Grazia, giustizia e culto - Liste di leva - Istruzione pubblica - Condono edilizio - Lavori pubblici - Concessioni edilizie - Terremoto (legge 219/81) - Agricoltura, industria e commercio - Emigrazione ed immigrazione - Corrispondenza varia - Quadrupedi. ; L'archivio fu danneggiato in seguito a bombardamenti aerei durante la seconda guerra mondiale. Traslochi furono effettuati nel 1943, nel 1945 e nel 1960. Con il crollo dei locali causato dal bombardamento del 1943, confuse con macerie e materiale vario, furono in quantità imprecisata eliminate e distrutte carte d'archivio.",Archivio Pubblico Non Statale,Archivio documentale,Latronico,"Via Marconi, 10 ; 85043 Latronico PZ",Comune di Latronico,1816 - 2004,40.0908758,16.0108532
"Museo delle Arti, dei Mestieri e della Civiltà Contadina","Il Museo espone raccolte private latronichesi acquistate dal Comune, grazie ad un finanziamento dell’Istituto Banco di Napoli - Fondazione. L’allestimento è tematico ed è suddiviso in otto sezioni diverse: Ciclo del grano; Ciclo dell’uva; L’abbigliamento; Il falegname; Il fabbro; Il calzolaio; L’abitazione (La cucina; La camera da letto); Trasporti e viabilità. Il Museo si distingue per l’attenzione che dedica all’esposizione degli attrezzi del lavoro contadino e di quello degli artigiani di supporto all’agricoltura; sono documentate anche le attività del maniscalco e dello stagnino. Espone, inoltre, oggetti d’uso domestico. Ogni oggetto esposto è contrassegnato da un numero di inventario. ; La maggior parte degli oggetti provengono dal territorio Latronichese e il restante dal Lagonegrese, Senisese ed altri da fuori regione, in particolare dalla Campania.",Archivio Collezioni Private,Collezione oggettuale,Latronico,"C.da Calda via Provinciale SP 101, 8 ; 85043 Latronico, Pz",Comune di Latronico,,40.0908758,16.0108532
Museo del Termalismo,"Il Museo del Termalismo di Latronico, allestito nello storico stabilimento termale costruito nel 1928, è nato per iniziativa dell’Amministrazione Comunale di Latronico e dell’Ente Parco Nazionale del Pollino, con lo scopo di approfondire e diffondere le conoscenze intorno all’attività termale del territorio comunale. Le terme hanno costituito nel tempo un fenomeno significativo anche per gli effetti prodotti nel tessuto sociale e urbano di Latronico. Esse, infatti, oltre a rivestire un’importante funzione terapeutica, sono state negli anni un significativo spazio di aggregazione e un elemento modificatore dei costumi sociali, tanto da rivestire una funzione di osservatorio sulle trasformazioni della vita sociale latronichese nel ’900. L’allestimento museale è stato curato da SimbdeaLab con il coordinamento scientifico di Ferdinando Mirizzi dell’Università della Basilicata. Il Museo, gestito dall’ATI “Museografia attiva”, si articola in otto sezioni: Il ritorno a Latronico; La piazza; Le terme e la socializzazione; Le terme e le cure; L’artigianato latronichese; I cibi tradizionali; Il rito e la festa; L’emigrante e le sue storie. Completano l’allestimento lo Spazio introduttivo e la Galleria espositiva, dedicati alla rappresentazione e valorizzazione delle attività termali e alle risorse del territorio. La presenza di elementi assai diversi, da pannelli fotografici a filmati, da oggetti a testi, inseriti in ambientazioni scenografiche, caratterizza un allestimento che punta a fare immergere il visitatore in un mondo passato, che si è tentato di evocare più che renderlo didascalicamente comprensivo. Le aree espositive presentano oggetti in funzione simbolica ed evocativa e schermi tattili a cui è affidato il compito di trasmettere informazioni e comunicare emozioni.",Archivio Collezioni Private,Museo multimediale;Collezione oggettuale,Latronico,"C.da Calda, Vico I Stabilimento ; 85043 Latronico, Pz",Comune di Latronico,,40.0908758,16.0108532
Archivio Storico Comunale di San Giorgio Lucano,"Il Comune di San Giorgio Lucano non ha un servizio d'archivio formalmente istituito e, pertanto, la documentazione è consultabile con modalità da concordare con il responsabile dell'Ufficio Protocollo ed archivio. Il materiale archivistico risulta dislocato in diversi siti.",Archivio Pubblico Non Statale,Archivio documentale,San Giorgio Lucano,via Meridionale ; 75027 San Giorgio Lucano MT,Comune di San Giorgio Lucano,1878 - 1999,40.1107746,16.3875548
Archivio Storico Comunale di Fardella,"L'archivio comprende atti delle 15 categorie a partire dal 1947, data in cui Fardella ridivenne comune autonomo dopo essere stato per circa venti anni frazione di Chiaromonte.",Archivio Pubblico Non Statale,Archivio documentale,Fardella,"Corso Vittorio Emanuele, 2 ; 85030 Fardella PZ",Comune di Fadella,1947 - 1971,40.1147543,16.1702058
Archivio Storico Comunale di Chiaromonte,"L'archivio comprende atti delle 15 categorie a partire dal 1885. Molta documentazione antica è, con molta probabilità, andata distrutta in seguito alla permanenza, per un periodo di tempo imprecisato precedente il 1953, in un locale sotterraneo umido e infestato da roditori.",Archivio Pubblico Non Statale,Archivio documentale,Chiaromonte,Comune di Chiaromonte ; Via Garibaldi ; 85032 Chiaromonte PZ,Comune di Chiaromonte,1885 - 1988,40.1250185,16.2156296
